noise_rate,fidelity,entropy,purity
0.0,1.000000051619139,3.683940479387151E-15,0.9999999999999996
0.01,0.9414801769466017,0.4847587955947286,0.8869276393916674
0.02,0.8858425146396468,0.8486432530836704,0.7866797414368154
0.03,0.8329721263711923,1.1663511469894445,0.6978339859159346
0.04,0.7827578977839055,1.4537531344944852,0.6191199162021874
0.05,0.7350919362386804,1.7183817426957446,0.5494035676106391
0.060000000000000005,0.6898698824067991,1.9646695149268554,0.48767354718188916
0.07,0.6469902242141781,2.195541905401343,0.43302843953738185
0.08,0.6063550381596069,2.413075141213638,0.3846654231024509
0.09,0.5678693284121945,2.618818902384615,0.34186999001169494
0.09999999999999999,0.5314410848601541,2.8139735615356902,0.3040066714239988
0.10999999999999999,0.49698130756134384,2.999495748987171,0.2705106778146261
0.11999999999999998,0.46440410844124735,3.17616519172419,0.2408803711111883
0.12999999999999998,0.4336262655031556,3.344629110167934,0.21467049232942007
0.13999999999999999,0.4045672968240858,3.50543286985714,0.1914860746728486
0.15,0.37714957392271803,3.659041828298403,0.17097697791564026
0.16,0.3512981712700985,3.8058573278433996,0.15283298531702963
0.17,0.3269404216370368,3.946228672465315,0.1367794093442569
0.18000000000000002,0.30400668116650825,4.080462274369677,0.12257315713351952
0.19000000000000003,0.2824295801315392,4.208828759303383,0.1099992109183098
0.20000000000000004,0.26214403915647233,4.3315685693241734,0.09886748262399972
0.21000000000000005,0.24308748796278387,4.448896439587643,0.08901000548785902
0.22000000000000006,0.22519962700615004,4.561005017771796,0.08027842893500914
0.23000000000000007,0.20842241500289743,4.6680678212792275,0.07254178604235556
0.24000000000000007,0.19269995870472187,4.770241676307135,0.06568450577250934
0.25000000000000006,0.17797854268888166,4.867668746754796,0.059604644775390535
0.26000000000000006,0.16420650601830603,4.960478234955711,0.05421231595301855
0.2700000000000001,0.1513342520608869,5.048787817249054,0.049428293178414656
0.2800000000000001,0.13931407868562198,5.132704863360784,0.045182773567264044
0.2900000000000001,0.12810033737845922,5.212327478036432,0.04141428053486566
0.3000000000000001,0.11764901141201592,5.2877453953841576,0.03806869254399993
0.3100000000000001,0.10791818077838584,5.35904075026714,0.035098383974008225
0.3200000000000001,0.09886749524476802,5.426288746346963,0.032461465929201905
0.3300000000000001,0.09045839828938282,5.489558236678366,0.030121116066613534
0.34000000000000014,0.08265396302848892,5.5489122298381846,0.028044987669337145
0.35000000000000014,0.07541889596261837,5.6044083322529445,0.026204689231890566
0.36000000000000015,0.06871948587055236,5.65609913553295,0.024575326767215095
0.37000000000000016,0.06252351086100486,5.704032556122399,0.023135101899555567
0.38000000000000017,0.056800237634139036,5.748252133357792,0.02186495958147602
0.3900000000000002,0.05152037746663909,5.788797291030523,0.020748279974073015
0.4000000000000002,0.046656006285532,5.825703566728013,0.019770609664
0.4100000000000002,0.04218053897865779,5.859002812546939,0.018919427965714455
