noise_rate,fidelity,entropy,purity
0.0,1.0000000138977319,8.008566259537293E-16,0.9999999999999983
0.01,0.9801495426570848,0.18165876933517347,0.9607900845019941
0.02,0.960596058385876,0.3231725435836478,0.9231213441273612
0.03,0.9413366122626683,0.4494428403975082,0.8869367649471053
0.04,0.9223682156940105,0.565762170167282,0.8521812561104887
0.05,0.9036879439283337,0.6746437259866814,0.8188015933618156
0.060000000000000005,0.885292860502392,0.7775674313263048,0.7867463639228164
0.07,0.8671800335371653,0.8755109061560427,0.7559659127163133
0.08,0.8493466216733787,0.9691687563296587,0.726412289907096
0.09,0.8317896392698408,1.0590601357427214,0.6980391997361957
0.09999999999999999,0.8145063029221825,1.1455878284638232,0.6708019506249998
0.10999999999999999,0.7974936587739051,1.2290734394430363,0.6446574065258873
0.11999999999999998,0.780749004930341,1.3097796766179066,0.6195639394963444
0.12999999999999998,0.7642693965488284,1.387925152402453,0.595481383473732
0.13999999999999999,0.7480520491328336,1.4636946036008935,0.5723709892281612
0.15,0.7320941862249103,1.537246176505988,0.5501953804711909
0.16,0.7163929840906987,1.6087167608090924,0.528918511098265
0.17,0.7009457285398372,1.6782259849541854,0.5085056235431187
0.18000000000000002,0.6857496316649033,1.745879268256417,0.48892320822259255
0.19000000000000003,0.6708019902601305,1.8117701927491314,0.4701389640505733
0.20000000000000004,0.6561000320720959,1.8759823743571244,0.4521217599999995
0.21000000000000005,0.6416410973436931,1.9385909589257813,0.43484159769216546
0.22000000000000006,0.6274224489074757,1.9996638326581122,0.4182695749927691
0.23000000000000007,0.6134414089234003,2.0592626120188613,0.40237785059442266
0.24000000000000007,0.5996953960491646,2.1174434611494584,0.38713960956559296
0.25000000000000006,0.5861816761844876,2.174257772798385,0.3725290298461912
0.26000000000000006,0.5728976393233824,2.229752740111956,0.3585212496702731
0.2700000000000001,0.559840687471017,2.283971840307558,0.3450923358965874
0.2800000000000001,0.5470081845605675,2.3369552465714234,0.3322192532279287
0.2900000000000001,0.534397555253415,2.3887401810151365,0.3198798343005355
0.3000000000000001,0.5220062810432146,2.4393612188656015,0.3080527506249992
0.3100000000000001,0.5098317384689178,2.4888505520252515,0.29671748436042866
0.3200000000000001,0.4978713863097388,2.5372382185622664,0.2858543009038331
0.3300000000000001,0.48612272889483626,2.5845523034589872,0.27544422227697846
0.34000000000000014,0.4745832397695625,2.6308191149768767,0.2654690012931851
0.35000000000000014,0.4632504200665374,2.676063340226229,0.2559110964868156
0.36000000000000015,0.45212178497247424,2.7203081829131173,0.24675364778844078
0.37000000000000016,0.4411948579818272,2.763575485740162,0.23798045292892175
0.38000000000000017,0.4304672427286845,2.8058858395355895,0.22957594455590516
0.3900000000000002,0.419936412434072,2.847258680857279,0.22152516804648226
0.4000000000000002,0.40960002472385654,2.8877123795494497,0.21381375999999944
0.4100000000000002,0.3994556260020187,2.9272643175078175,0.2064279273952767
0.4200000000000002,0.3895008366122792,2.9659309597250942,0.1993544273967372
0.4300000000000002,0.37973327087255937,3.0037279185353865,0.19258054779419972
0.4400000000000002,0.3701505775355959,3.0406700118478636,0.18609408806133704
0.45000000000000023,0.36075039795806035,3.0767713160520547,0.17988334101806605
0.46000000000000024,0.3515304186346591,3.1120452141861503,0.17393707508236925
0.47000000000000025,0.34248831347797953,3.146504439882405,0.1682445170973204
0.48000000000000026,0.3336217740121121,3.1801611175380895,0.1627953357193212
0.49000000000000027,0.3249285177697532,3.2130267991042554,0.15757962535381465
0.5000000000000002,0.31640627462552495,3.2451124978365304,0.15258789062499958
0.5100000000000002,0.3080527688740331,3.276428719310732,0.14781103136630974
0.5200000000000002,0.29986577855291824,3.3069854899704727,0.1432403281186812
0.5300000000000002,0.29184306559310585,3.336792383442998,0.13886742812388558
0.5400000000000003,0.2839824305097723,3.365858544832703,0.13468433180044928
0.5500000000000003,0.2762816534255012,3.3941927131784637,0.13068337968994115
0.5600000000000003,0.2687385686670623,3.421803242240522,0.12685723986165745
