noise_rate,fidelity,entropy,purity,entropy_derivative
0.0,0.9999999999999989,3.203426503814918E-16,0.9999999999999996,0.0
0.01,0.985074999999999,0.135563218647176,0.9704470074999998,13.556321864717566
0.02,0.970299999999999,0.2399585207859804,0.9417761199999998,10.43953021388044
0.03,0.9556749999999994,0.33203574718926254,0.9139696075,9.207722640328216
0.04,0.941199999999999,0.4158586290783666,0.8870099199999996,8.382288188910406
0.05,0.9268749999999993,0.4933791683452867,0.8608796875,7.7520539266920085
0.060000000000000005,0.9126999999999991,0.5657599999860969,0.8355617199999996,7.23808316408102
0.07,0.8986749999999987,0.6337780531904369,0.8110390074999994,6.801805320433995
0.08,0.8848,0.6979918584427036,0.7872947199999996,6.421380525226676
0.09,0.8710749999999992,0.758823895985762,0.7643122074999995,6.083203754305846
0.09999999999999999,0.8574999999999989,0.8166059821158274,0.7420749999999999,5.778208613006533
0.10999999999999999,0.8440749999999991,0.8716063930812075,0.7205668074999999,5.5000410965380135
0.11999999999999998,0.8307999999999993,0.924047096621841,0.6997715199999999,5.24407035406336
0.12999999999999998,0.8176750000000002,0.9741152363739831,0.6796732075,5.006813975214211
0.13999999999999999,0.8046999999999986,1.0219710875863457,0.6602561199999999,4.785585121236253
0.15,0.791874999999999,1.067753746852231,0.6415046874999997,4.578265926588516
0.16,0.7791999999999994,1.1115853115974998,0.6234035200000001,4.383156474526891
0.17,0.7666749999999994,1.1535740209601528,0.6059374075,4.198870936265294
0.18000000000000002,0.7542999999999993,1.1938166630028244,0.5890913199999995,4.024264204267155
0.19000000000000003,0.7420749999999994,1.2324004515028364,0.5728504074999997,3.858378850001195
0.20000000000000004,0.7299999999999996,1.2694045114028878,0.5571999999999999,3.700405990005137
0.21000000000000005,0.7180749999999991,1.3049010703244965,0.5421256074999997,3.5496558921608714
0.22000000000000006,0.7062999999999996,1.3389564257647386,0.5276129199999999,3.4055355440242043
0.23000000000000007,0.6946749999999992,1.3716317386532335,0.5136478074999997,3.267531288849487
