noise_rate,fidelity,entropy,purity,entropy_derivative
0.0,0.9999999999999989,3.203426503814918E-16,0.9999999999999996,0.0
0.01,0.9801999999999991,0.14031612360403017,0.9611840799999996,14.031612360402983
0.02,0.9607999999999991,0.2386121190341604,0.9246732799999999,9.829599543013023
0.03,0.941799999999999,0.3202577587174926,0.8903744799999995,8.164563968333223
0.04,0.9232,0.3908021835125555,0.8581964799999995,7.054442479506289
0.05,0.904999999999999,0.45294254818728363,0.8280499999999991,6.21403646747281
0.060000000000000005,0.887199999999999,0.5083042605753969,0.7998476799999996,5.536171238811326
0.07,0.8697999999999989,0.5579864307762377,0.7735040799999993,4.968217020084075
0.08,0.8527999999999991,0.6027887184488319,0.7489356799999998,4.4802287672594225
0.09,0.8361999999999993,0.6433233495381446,0.7260608799999997,4.053463108931279
0.09999999999999999,0.819999999999999,0.6800770457282801,0.7047999999999994,3.6753696190135483
0.10999999999999999,0.804199999999999,0.7134481439893963,0.6850752799999997,3.337109826111619
0.11999999999999998,0.7887999999999995,0.7437702434060474,0.6668108799999999,3.0322099416651107
0.12999999999999998,0.7737999999999998,0.7713280051425915,0.6499328799999992,2.755776173654413
0.13999999999999999,0.759199999999999,0.7963681222712873,0.6343692799999996,2.5040117128695782
0.15,0.7450000000000001,0.819107179827683,0.6200499999999998,2.273905755639569
0.16,0.7311999999999993,0.8397374366880583,0.6069068799999997,2.0630256860375322
0.17,0.7177999999999992,0.8584311742521211,0.5948736799999997,1.869373756406277
0.18000000000000002,0.704799999999999,0.8753440297133133,0.5838860799999996,1.691285546119213
0.19000000000000003,0.6921999999999994,0.8906175928719036,0.5738816799999997,1.5273563158590284
0.20000000000000004,0.6799999999999992,0.9043814577244942,0.5647999999999996,1.376386485259061
0.21000000000000005,0.6681999999999991,0.9167548629930673,0.5565824799999994,1.23734052685731
0.22000000000000006,0.6567999999999993,0.9278480176639433,0.5491724799999997,1.1093154670876006
0.23000000000000007,0.645799999999999,0.9377631815984129,0.5425152799999995,0.9915163934469553
0.24000000000000007,0.6351999999999993,0.9465955531569452,0.5365580799999997,0.8832371558532329
0.25000000000000006,0.6249999999999992,0.9544340029249652,0.5312499999999996,0.7838449768019965
0.26000000000000006,0.6151999999999991,0.9613616833606218,0.5265420799999997,0.6927680435656607
