noise_rate,fidelity,entropy,purity,entropy_derivative
0.0,0.9999999999999989,3.203426503814918E-16,0.9999999999999996,0.0
0.01,0.9900499999999999,0.09044352116876837,0.9802980099999996,9.044352116876805
0.02,0.9802,0.16023196053889582,0.9611841599999997,6.978843937012745
0.03,0.970450020759729,0.22191609999394102,0.9426468099999995,6.16841394550452
0.04,0.9608000292123572,0.27819133360833065,0.9246745599999995,5.627523361438962
0.05,0.9512500205533417,0.3303463919938182,0.9072562499999993,5.215505838548755
0.060000000000000005,0.9417999999999994,0.3791445507764998,0.8903809599999994,4.879815878268156
0.07,0.9324499999999993,0.42509253121649415,0.8740380099999994,4.594798043999436
0.08,0.923200028635054,0.46855190533870394,0.8582169599999997,4.345937412220981
0.09,0.9140500201474498,0.5097939023159204,0.8429076099999997,4.124199697721644
0.09999999999999999,0.9050000283513928,0.549029597839735,0.8280999999999995,3.923569552381469
0.10999999999999999,0.896050019948086,0.5864279444462279,0.8137844099999996,3.73983466064929
0.11999999999999998,0.8872000198493305,0.6221272178160918,0.7999513599999999,3.569927336986391
0.12999999999999998,0.878450019751206,0.6562426394079743,0.7865916099999994,3.411542159188254
0.13999999999999999,0.8697999999999996,0.6888716523394742,0.7736961599999996,3.262901293149986
0.15,0.8612500000000002,0.7200976909189749,0.7612562499999997,3.1226038579500655
0.16,0.8528000194607113,0.7499929466668867,0.7492633599999996,2.9895255747911715
0.17,0.8444499999999995,0.7786204445330898,0.7377092099999997,2.8627497866203084
0.18000000000000002,0.8361999999999994,0.8060356320719125,0.7265857599999995,2.741518753882275
0.19000000000000003,0.828050019176237,0.8322876166667474,0.7158852099999997,2.6251984594834887
0.20000000000000004,0.8199999999999991,0.8574201432138471,0.7055999999999996,2.513252654709961
0.21000000000000005,0.8120500000000003,0.8814723769545769,0.6957228099999995,2.4052233740729823
0.22000000000000006,0.8041999999999994,0.9044795376740253,0.6862465599999997,2.3007160719448394
0.23000000000000007,0.7964500188067761,0.9264734188922361,0.6771644099999995,2.199388121821076
0.24000000000000007,0.7887999999999993,0.9474828169147255,0.6684697599999997,2.100939802248934
0.25000000000000006,0.7812499999999994,0.9675338884028521,0.6601562499999996,2.005107148812672
0.26000000000000006,0.7737999999999998,0.9866504506546084,0.6522177599999995,1.9116562251756268
0.2700000000000001,0.7664500184491778,1.0048542355182175,0.6446484099999996,1.8203784863609058
0.2800000000000001,0.7592000000000002,1.0221651054385013,0.6374425599999997,1.731086992028373
0.2900000000000001,0.7520499999999994,1.0386012383178724,0.6305948099999997,1.6436132879371164
0.3000000000000001,0.7450000000000003,1.054179286493265,0.6240999999999999,1.5578048175392643
0.3100000000000001,0.7380500181041443,1.068914514070947,0.6179532099999997,1.4735227577681962
0.3200000000000001,0.7311999999999996,1.0828209160399482,0.6121497599999997,1.3906401969001156
0.3300000000000001,0.7244499999999998,1.0959113219424872,0.6066852099999995,1.3090405902538949
0.34000000000000014,0.7177999999999994,1.108197486372828,0.6015553599999999,1.2286164430340685
0.35000000000000014,0.7112500177724067,1.119690168172665,0.5967562499999997,1.149268179983708
0.36000000000000015,0.7047999999999995,1.1303991998677743,0.5922841599999997,1.0709031695109275
0.37000000000000016,0.6984499999999996,1.1403335486293402,0.5881356099999997,0.993434876156595
0.38000000000000017,0.6921999999999994,1.149501369830896,0.5843073599999997,0.9167821201555785
0.3900000000000002,0.6860499999999997,1.1579100540975522,0.5807964099999997,0.8408684266656189
0.4000000000000002,0.6799999999999993,1.1655662686005206,0.5775999999999997,0.7656214502968377
0.4100000000000002,0.6740499999999994,1.1724759932305138,0.5747156099999997,0.6909724629993168
0.4200000000000002,0.6681999999999996,1.1786445521836484,0.5721409599999998,0.6168558953134612
0.4300000000000002,0.6624500171518768,1.1840766414092403,0.5698740099999999,0.5432089225591903
0.4400000000000002,0.6567999999999996,1.188776352297209,0.5679129599999998,0.46997108879687177
